,model,test_accuracy,outcome,fit_time,score_time,test_precision,test_recall,test_f1,test_roc_auc
46,svm_feature_selection_1year10_oversample,0.7409395973154363,Outcome,0.89406418800354,0.05222625732421875,0.27093279736136877,0.5354878048780487,0.35780244908642234,0.7277843781197744
47,svm_feature_selection_1year15,0.863758389261745,Outcome,0.20261540412902831,0.031001472473144533,0.0,0.0,0.0,0.7606919139863736
48,svm_feature_selection_1year15_oversample,0.7677852348993288,Outcome,0.8999927043914795,0.05040102005004883,0.2599130904326109,0.3957317073170732,0.3104865365746058,0.7232138503450005
49,svm_feature_selection_1year20,0.8644295302013424,Outcome,0.20546221733093262,0.032203960418701175,0.0,0.0,0.0,0.7599532617803783
50,svm_feature_selection_1year20_oversample,0.7785234899328859,Outcome,0.9591289520263672,0.05865883827209473,0.263254865289749,0.3567073170731707,0.2978749173910833,0.7374336832998227
51,svm_feature_selection_1year25,0.8644295302013424,Outcome,0.20883569717407227,0.032924318313598634,0.0,0.0,0.0,0.7669095667316278
52,svm_feature_selection_1year25_oversample,0.7986577181208053,Outcome,0.9179003715515137,0.04960289001464844,0.2873443839365317,0.34231707317073173,0.30906910550914024,0.7461151935630296
53,svm_feature_selection_1year30,0.8644295302013424,Outcome,0.22473106384277344,0.035880327224731445,0.0,0.0,0.0,0.7778359921075457
54,svm_feature_selection_1year30_oversample,0.7999999999999999,Outcome,0.9160175800323487,0.05039987564086914,0.2814344908721808,0.3073170731707317,0.29322107050533985,0.7525363080117092
55,rf_feature_selection_1year5,0.8684563758389263,Outcome,0.19166164398193358,0.021000242233276366,0.725,0.08414634146341463,0.14280426107668634,0.8033864950234426
56,rf_feature_selection_1year5_oversample,0.7322147651006712,Outcome,0.5867537498474121,0.020677804946899414,0.28079020013802625,0.6291463414634146,0.3876362093161997,0.7504782951989777
57,rf_feature_selection_1year10,0.870469798657718,Outcome,0.19885339736938476,0.021200180053710938,0.7666666666666666,0.09390243902439024,0.15907884363698316,0.8089430149425464
58,rf_feature_selection_1year10_oversample,0.7577181208053692,Outcome,0.6096793174743652,0.024127769470214843,0.3102295317351747,0.6192682926829269,0.41195703204593226,0.7658423749313052
59,rf_feature_selection_1year15,0.8738255033557047,Outcome,0.19962749481201172,0.022170162200927733,0.8565656565656565,0.10353658536585367,0.17557341792979103,0.8133616885644017
60,rf_feature_selection_1year15_oversample,0.7805369127516779,Outcome,0.7443312168121338,0.028107976913452147,0.3244779091071226,0.5648780487804878,0.41021953321307497,0.7643208115661828
