model,accuracy,precision,recall,f1_score,auc,outcome,oversample,n_feature
dt,0.7319034852546917,0.30327868852459017,0.7115384615384616,0.4252873563218391,0.7173496285645818,Outcome,True,30.0
dt,0.8552278820375335,0.4375,0.1346153846153846,0.2058823529411765,0.7229810687754613,Outcome,False,30.0
l1,0.710455764075067,0.24545454545454545,0.5192307692307693,0.3333333333333333,0.7394560268392045,Outcome,True,5.0
l1,0.8552278820375335,0.4375,0.1346153846153846,0.2058823529411765,0.8202132758207524,Outcome,False,5.0
l1,0.6943699731903485,0.23275862068965517,0.5192307692307693,0.32142857142857145,0.7094416486939852,Outcome,True,10.0
l1,0.8552278820375335,0.4166666666666667,0.09615384615384616,0.15625,0.8221303618499881,Outcome,False,10.0
l1,0.7024128686327078,0.1958762886597938,0.36538461538461536,0.25503355704697983,0.6914689671699018,Outcome,True,15.0
l1,0.8471849865951743,0.3333333333333333,0.09615384615384616,0.14925373134328357,0.8138629283489097,Outcome,False,15.0
l1,0.7319034852546917,0.23333333333333334,0.40384615384615385,0.29577464788732394,0.705307931943446,Outcome,True,20.0
l1,0.8525469168900804,0.36363636363636365,0.07692307692307693,0.126984126984127,0.8126048406422238,Outcome,False,20.0
l1,0.7426273458445041,0.25,0.4230769230769231,0.3142857142857143,0.7040498442367601,Outcome,True,25.0
l1,0.8579088471849866,0.4666666666666667,0.1346153846153846,0.208955223880597,0.8140426551641505,Outcome,False,25.0
l1,0.7345844504021448,0.24175824175824176,0.4230769230769231,0.3076923076923077,0.7055475676971005,Outcome,True,30.0
l1,0.8552278820375335,0.4375,0.1346153846153846,0.2058823529411765,0.8138629283489097,Outcome,False,30.0
l2,0.710455764075067,0.24545454545454545,0.5192307692307693,0.3333333333333333,0.7394560268392044,Outcome,True,5.0
l2,0.8552278820375335,0.4375,0.1346153846153846,0.2058823529411765,0.8202731847591661,Outcome,False,5.0
l2,0.6943699731903485,0.23275862068965517,0.5192307692307693,0.32142857142857145,0.7094416486939852,Outcome,True,10.0
l2,0.8552278820375335,0.4166666666666667,0.09615384615384616,0.15625,0.8141624730409778,Outcome,False,10.0
l2,0.7050938337801609,0.19791666666666666,0.36538461538461536,0.25675675675675674,0.6911095135394201,Outcome,True,15.0
l2,0.8471849865951743,0.3076923076923077,0.07692307692307693,0.12307692307692308,0.8106278456745747,Outcome,False,15.0
l2,0.7319034852546917,0.23333333333333334,0.40384615384615385,0.29577464788732394,0.7048885693745507,Outcome,True,20.0
l2,0.8552278820375335,0.42857142857142855,0.11538461538461539,0.18181818181818182,0.814282290917805,Outcome,False,20.0
l2,0.7319034852546917,0.22727272727272727,0.38461538461538464,0.2857142857142857,0.7032111190989696,Outcome,True,25.0
l2,0.8525469168900804,0.4117647058823529,0.1346153846153846,0.2028985507246377,0.8130841121495327,Outcome,False,25.0
l2,0.739946380697051,0.25274725274725274,0.4423076923076923,0.32167832167832167,0.7077641984184041,Outcome,True,30.0
l2,0.8552278820375335,0.4375,0.1346153846153846,0.2058823529411765,0.8121854780733285,Outcome,False,30.0
elasticnet,0.7184986595174263,0.2809917355371901,0.6538461538461539,0.3930635838150289,0.7807931943445963,Outcome,True,5.0
elasticnet,0.8552278820375335,0.375,0.057692307692307696,0.09999999999999999,0.8211718188353703,Outcome,False,5.0
elasticnet,0.710455764075067,0.26666666666666666,0.6153846153846154,0.37209302325581395,0.7624011502516175,Outcome,True,10.0
elasticnet,0.8605898123324397,0.5,0.07692307692307693,0.13333333333333336,0.8214114545890246,Outcome,False,10.0
elasticnet,0.7184986595174263,0.2773109243697479,0.6346153846153846,0.3859649122807018,0.7660555954948478,Outcome,True,15.0
elasticnet,0.8579088471849866,0.42857142857142855,0.057692307692307696,0.10169491525423728,0.8212916367121974,Outcome,False,15.0
elasticnet,0.7184986595174263,0.2773109243697479,0.6346153846153846,0.3859649122807018,0.766175413371675,Outcome,True,20.0
elasticnet,0.8579088471849866,0.42857142857142855,0.057692307692307696,0.10169491525423728,0.8212916367121974,Outcome,False,20.0
elasticnet,0.7184986595174263,0.2773109243697479,0.6346153846153846,0.3859649122807018,0.766175413371675,Outcome,True,25.0
elasticnet,0.8579088471849866,0.42857142857142855,0.057692307692307696,0.10169491525423728,0.8212916367121974,Outcome,False,25.0
elasticnet,0.7184986595174263,0.2773109243697479,0.6346153846153846,0.3859649122807018,0.766175413371675,Outcome,True,30.0
elasticnet,0.8579088471849866,0.42857142857142855,0.057692307692307696,0.10169491525423728,0.8211119098969566,Outcome,False,30.0
logistic,0.710455764075067,0.24545454545454545,0.5192307692307693,0.3333333333333333,0.7386173017014138,Outcome,True,5.0
logistic,0.8552278820375335,0.4375,0.1346153846153846,0.2058823529411765,0.8202132758207524,Outcome,False,5.0
logistic,0.6943699731903485,0.23275862068965517,0.5192307692307693,0.32142857142857145,0.7090821950635035,Outcome,True,10.0
logistic,0.8498659517426274,0.35714285714285715,0.09615384615384616,0.15151515151515152,0.8212916367121975,Outcome,False,10.0
logistic,0.707774798927614,0.2,0.36538461538461536,0.2585034013605442,0.6908698777857656,Outcome,True,15.0
logistic,0.8471849865951743,0.3333333333333333,0.09615384615384616,0.14925373134328357,0.8133237479031872,Outcome,False,15.0
logistic,0.7319034852546917,0.23333333333333334,0.40384615384615385,0.29577464788732394,0.7043493889288283,Outcome,True,20.0
logistic,0.8579088471849866,0.4666666666666667,0.1346153846153846,0.208955223880597,0.8148214713635276,Outcome,False,20.0
logistic,0.7372654155495979,0.24444444444444444,0.4230769230769231,0.30985915492957744,0.7046489336208963,Outcome,True,25.0
logistic,0.8579088471849866,0.4666666666666667,0.1346153846153846,0.208955223880597,0.8127246585190511,Outcome,False,25.0
logistic,0.7426273458445041,0.2441860465116279,0.40384615384615385,0.3043478260869565,0.7005751258087707,Outcome,True,30.0
logistic,0.8552278820375335,0.4444444444444444,0.15384615384615385,0.2285714285714286,0.8145818356098731,Outcome,False,30.0
